feature,coef,FDR
g__Flavonifractor,-0.0837684483072115,0.107746029806612
g__Hungatella,-0.0340239666610671,0.115020720235439
g__Parasutterella,0.0546758196712492,0.23640335246435
g__Akkermansia,0.0858189958991714,0.0186561014062834
g__Lachnospira,0.0889723810920892,0.0350999739866869
g__Bilophila,0.115163932622152,0.00188920681702937
g__Roseburia,0.151963939088185,0.113167900260295
g__Ruminococcus,0.156250421968193,0.00509211006036899
g__Fusicatenibacter,0.191340855572483,0.000110192700916866
g__Oscillibacter,0.196980796778302,0.107746029806612
g__Eubacterium,0.205830052947644,0.00540749930203406